"Sex","Race","State","Ethnicity","Age Group","First Year","Last Year","Cause of Death","Deaths","Population","Crude Rate","Age-Adjusted Rate"
"Both Sexes","All Races","United States","Both","All Ages","2017","2017","All Injury","243039","325719178","74.62","71.3852397157902"
"Both Sexes","All Races","United States","Both","All Ages","2017","2017","All Injury","243039","325719178","74.62","."
